Response ID,Survey Date,Flight,Station,NPS (0-10),Theme (blank on purpose),Verbatim
R-0028,2026-07-16,LS1732,OAK,10,,Got a real apology and a real explanation. That is all I wanted.
R-0029,2026-07-01,LS949,DEN,10,,Crew were outstanding during a hard delay. Genuinely.
R-0030,2026-07-20,LS2596,BWI,3,,It took four emails to get one number confirmed.
R-0031,2026-07-28,LS2555,SAN,2,,Wheelchair assistance never arrived at the gate.
R-0032,2026-07-18,LS651,LAS,10,,"Fast, clear, done in one email. Thank you."
R-0033,2026-07-10,LS2035,BWI,5,,The compensation offered did not match what my friend received for the same flight.
R-0034,2026-08-03,LS975,PHX,3,,It took four emails to get one number confirmed.
R-0035,2026-08-03,LS1495,SAN,10,,"Fast, clear, done in one email. Thank you."
R-0036,2026-07-07,LS2626,MCO,5,,"Website said one thing, the agent said another."
R-0037,2026-07-08,LS1272,MDW,5,,Second time this quarter my bag was late out of the same airport.
R-0038,2026-08-08,LS1893,SAN,1,,I was told to call a number that just loops back to the website.
R-0039,2026-07-30,LS158,MDW,9,,Crew were outstanding during a hard delay. Genuinely.
R-0040,2026-07-15,LS2828,OAK,10,,"Fast, clear, done in one email. Thank you."
R-0041,2026-07-23,LS1979,BWI,10,,Crew were outstanding during a hard delay. Genuinely.
R-0042,2026-07-02,LS1668,DEN,4,,It took four emails to get one number confirmed.
R-0043,2026-07-22,LS212,PHX,3,,Charged a change fee that your own policy page says does not exist.
R-0044,2026-07-31,LS606,DEN,3,,The compensation offered did not match what my friend received for the same flight.
R-0045,2026-08-07,LS796,MCO,9,,"Fast, clear, done in one email. Thank you."
R-0046,2026-08-02,LS888,OAK,2,,Nobody told us anything for two hours on the tarmac.
R-0047,2026-07-17,LS2298,DEN,2,,Nobody told us anything for two hours on the tarmac.
R-0048,2026-08-06,LS2677,AUS,3,,Charged a change fee that your own policy page says does not exist.
R-0049,2026-07-22,LS2656,MCO,3,,I was told to call a number that just loops back to the website.
R-0050,2026-08-05,LS568,BNA,3,,Charged a change fee that your own policy page says does not exist.
R-0051,2026-07-22,LS1459,SAN,5,,The refund took five weeks and I had to ask three times.
R-0052,2026-08-11,LS2420,LAS,5,,The compensation offered did not match what my friend received for the same flight.
R-0053,2026-07-01,LS494,PHX,3,,My bag showed up the next day and nobody called to say so.
R-0054,2026-07-06,LS1619,MCO,9,,"Fast, clear, done in one email. Thank you."
R-0055,2026-07-31,LS2224,MDW,4,,"Delay was weather, I understand that, but the communication was terrible."
R-0056,2026-08-03,LS2541,HOU,10,,Whoever wrote that reply actually read my email. Rare and appreciated.
R-0057,2026-07-09,LS2275,AUS,10,,Crew were outstanding during a hard delay. Genuinely.
R-0058,2026-07-14,LS1552,SAN,2,,I got three different answers from three different people.
R-0059,2026-07-01,LS2379,DAL,5,,Agent was kind but could not tell me what the policy actually was.
R-0060,2026-07-04,LS2705,MDW,10,,The app rebooked me before I even landed. Impressive.
R-0061,2026-07-17,LS491,AUS,10,,The app rebooked me before I even landed. Impressive.
R-0062,2026-08-09,LS1064,AUS,4,,It took four emails to get one number confirmed.
R-0063,2026-07-07,LS620,DEN,5,,The refund took five weeks and I had to ask three times.
R-0064,2026-08-01,LS2840,BWI,9,,Got a real apology and a real explanation. That is all I wanted.
R-0065,2026-07-27,LS2818,DEN,9,,Whoever wrote that reply actually read my email. Rare and appreciated.
R-0066,2026-07-08,LS1360,MDW,2,,Wheelchair assistance never arrived at the gate.
R-0067,2026-07-24,LS275,OAK,9,,Crew were outstanding during a hard delay. Genuinely.
R-0068,2026-07-07,LS980,MCO,5,,The response I got was clearly a template and did not answer my question.
R-0069,2026-08-07,LS1884,MCO,10,,The app rebooked me before I even landed. Impressive.
R-0070,2026-07-07,LS2588,SAN,2,,I got three different answers from three different people.
R-0071,2026-07-07,LS2163,PHX,6,,Agent was kind but could not tell me what the policy actually was.
R-0072,2026-07-23,LS1233,BWI,3,,Wheelchair assistance never arrived at the gate.
R-0073,2026-07-08,LS2175,BWI,4,,"Delay was weather, I understand that, but the communication was terrible."
R-0074,2026-08-05,LS1972,BWI,10,,Whoever wrote that reply actually read my email. Rare and appreciated.
R-0075,2026-07-13,LS1675,MDW,2,,I was told to call a number that just loops back to the website.
R-0076,2026-07-08,LS1514,HOU,2,,Nobody told us anything for two hours on the tarmac.
R-0077,2026-07-09,LS941,DEN,9,,"Fast, clear, done in one email. Thank you."
R-0078,2026-08-10,LS2681,MCO,10,,Whoever wrote that reply actually read my email. Rare and appreciated.
R-0079,2026-07-01,LS2343,DAL,3,,"Delay was weather, I understand that, but the communication was terrible."
R-0080,2026-08-09,LS1789,LAS,4,,It took four emails to get one number confirmed.
R-0081,2026-07-12,LS1977,AUS,10,,"Fast, clear, done in one email. Thank you."
R-0082,2026-08-03,LS1946,OAK,10,,The app rebooked me before I even landed. Impressive.
R-0083,2026-08-11,LS746,PHX,5,,Second time this quarter my bag was late out of the same airport.
R-0084,2026-08-07,LS1646,BWI,5,,The compensation offered did not match what my friend received for the same flight.
R-0085,2026-07-06,LS1018,AUS,5,,It took four emails to get one number confirmed.
